Ticker,MarketCap
UFPT,2182254336
PPBI,2178387712
SFNC,2177129984
GO,2170993152
VCEL,2167149824
GPCR,2163263744
GSHD,2151379712
GDS,2149069824
DRVN,2146166400
STAA,2144081152
SMTC,2127096960
ADUS,2119321600
LGIH,2101387264
IOVA,2098747392
FTRE,2098501504
FFBC,2095819904
PDCO,2095708672
APGE,2092936448
HELE,2090839040
INDB,2080399616
EVCM,2076855808
PTVE,2076336896
NEXT,2072981760
ROCK,2063103360
QDEL,2062731392
SPT,2052046592
PAYO,2051997952
INDV,2048850176
TOWN,2046019200
UPST,2036133248
JBLU,2035708032
PLMR,2032370432
WB,2031680384
TTMI,2031448832
PTGX,2029362560
AMRX,2026293888
CGON,2024196096
FOXF,2013788544
PRVA,2010508288
USLM,2007451264
NSSC,1999601024
GTX,1992101760
SBCF,1990029568
PLUS,1979886592
PSNYW,1979739136
VRNT,1977631488
FLYW,1976037888
RXRX,1972982528
JANX,1971104384
PSNY,1956769792
LFST,1951580288
TBBK,1951529216
BEAM,1935134080
FRME,1932052864
SPNS,1929483264
PINC,1929212160
VEON,1926175744
MGNI,1921129344
YY,1919076352
BTSG,1917927296
AVPT,1914972160
CAKE,1906353792
VERA,1903054848
CENX,1895725184
MLKN,1894129920
VITL,1892688384
IBTX,1890951808
HWKN,1890161280
HTLF,1888349184
PAX,1887732480
HPK,1883943424
AMPH,1874413696
PROK,1868443392
TFIN,1862809088
MBIN,1862216320
KYMR,1853327488
CORZ,1845387648
NVAX,1844171008
STGW,1844019072
GCMG,1838899200
PLUG,1834120704
LMAT,1823521152
CPRX,1821333248
EVO,1816293248
ASTH,1809127808
TRMK,1809064064
NWLI,1807974528
POWL,1806022016
MXL,1802630656
LILAK,1801683328
NBTB,1800867456
IMCR,1799417344
LILA,1797000704
NVCR,1794951552
RCKT,1789317120
VSAT,1785967488
NAMS,1777669376
SONO,1776533888
HURN,1769249920
MRVI,1758436480
NEO,1750292992
ENLT,1739954304
MRCY,1735277056
HRMY,1734992512
ZLAB,1729600512
HLMN,1716338944
DNUT,1708401408
SNDX,1703991424
BMBL,1688137344
EWTX,1685592448
CNXN,1679612160
WULF,1678239360
BANR,1672523136
EXPI,1672347776
BLMN,1668994432
ANDE,1662821888
EXTR,1659436032
GLPG,1648086528
WSBC,1644834176
UPBD,1641886592
VCYT,1636753664
RUM,1631890560
VSEC,1630602112
ARVN,1628679296
BTDR,1627998464
NAVI,1620903424
OSW,1611548544
MGPI,1611490560
CHEF,1605384704
HPH,1600780288
MORF,1595982080
PLAB,1593428480
MIRM,1592152704
HEES,1586385024
COCO,1584884608
ROIC,1577243264
VIAV,1572711680
COHU,1570785664
CHCO,1565317888
BLBD,1563276544
THRM,1562941568
IAS,1558079488
HOLI,1553437568
LKFN,1550606720
KURA,1539609856
LZ,1536620288
CLBK,1529250816
NMRA,1527442304
OCSL,1527355264
ALHC,1525760000
KROS,1525446912
SLNO,1517211136
AFYA,1507532544
AKRO,1507491712
PLAY,1506452480
EFSC,1489170432
ARRY,1488853888
VICR,1487417600
INMD,1485911424
LGND,1485148928
MRTN,1480801280
NVEE,1477107712
PWP,1472607744
OXLC,1467286400
PZZA,1466607872
ACMR,1466503424
UPWK,1465042176
SYBT,1464623360
INFN,1462477440
CASH,1459629824
XRX,1458084480
STER,1457865088
HUT,1452599424
KALU,1451976832
NWBI,1451445888
DVAX,1445702144
SDGR,1444350464
SKWD,1436220416
ODP,1430052864
TLRY,1424577408
SUPN,1421635456
CIFR,1413732224
SEDG,1410182656
PDFS,1398662656
HLIT,1392094208
ATEC,1391845760
PRDO,1388807040
AVDL,1386270848
DSGR,1373773696
APOG,1373400192
SGML,1370602240
HIMX,1368962560
MNKD,1365664640
MTTR,1359531648
BLTE,1358624640
BCYC,1355481600
MRX,1354750080
BUSE,1349590144
ICHR,1349385344
NTCT,1349042432
KNSA,1345588096
NMFC,1334656128
UDMY,1328942720
BCRX,1328035968
FBNC,1320740096
GCT,1316397184
WKME,1306182400
SRCE,1301382656
AHCO,1294816768
TCBK,1293469952
SYRE,1293173760
WABC,1289900544
IMKTA,1289814656
SOUN,1285408768
DMLP,1282835200
CLMT,1280590464
ANIP,1279286400
HOPE,1273091328
STBA,1262167040
VRNA,1258389632
LBPH,1256216064
MCRI,1250494336
GOGO,1245629056
QQQX,1245571712
OPEN,1237851904
PTON,1232956672
CRCT,1232019072
AILE,1226277632
ARDX,1226062848
TASK,1224122880
CSWC,1222465024
OMCL,1220876160
AMWD,1216838272
IMTX,1215510144
ADEA,1214193280
SGH,1209629568
WINA,1207242880
ACDC,1204318080
CSGS,1198720768
TRUP,1196743808
VIR,1194598016
GIII,1194428672
ESTA,1194279808
NRIX,1192342912
HDL,1189189632
CRAI,1188791552
DCBO,1173147392
NRDS,1171898880
SANA,1167320832
DAWN,1160537856
OPRA,1151228800
TBLA,1148890880
MOMO,1147502080
XNCR,1146924416
VBTX,1135218816
NYMTN,1122954880
SAFT,1118086144
TRNS,1116490752
ARQT,1114228480
SEAT,1109899904
JBSS,1106741760
FORTY,1103341056
AOSL,1096979072
ULCC,1088435968
SASR,1084402560
IRON,1083675648
ATRC,1081828224
FDMT,1079566976
ULH,1079535616
HTZ,1079519872
PRTA,1079200000
CRSR,1076466176
PLYA,1076102528
SCSC,1075344384
TARS,1072248448
SILK,1070306560
GSM,1054974208
COLL,1054086976
CALT,1052730880
PEBO,1046357184
AMPL,1046004992
ADV,1045474048
HIBB,1041626624
SABR,1040764672
BITF,1032884992
PUBM,1032073792
OCUL,1030011840
INDI,1029188160
GABC,1025991680
TRS,1025664512
RBCAA,1023993536
CSIQ,1023487488
GYRE,1021845632
INVA,1016601408
SHLS,1013146944
PCRX,1010515776
MFIC,1004574592
PFBC,1004318528
OLPX,999262144
MDXG,997065024
SCVL,989648384
SCHL,988327744
CVII,987063168
CNTA,986874048
KARO,986328000
ECPG,984072192
QCRH,982126528
NN,981912704
ELVN,980244864
CECO,980115456
GPRE,974449984
IRWD,972021952
EYE,971406720
CMCO,970806656
FWRG,970186048
CGEM,963067456
IMOS,960838272
SSRM,959927488
HTLD,955727872
FIP,950838912
PGY,947935680
AMSC,947153920
CPLP,942098752
MSEX,937784320
JACK,937511296
ANGI,935748864
TCPC,934226880
EH,929819904
ATSG,925388288
CGBD,925376384
AUTL,921814720
